point 0,(0.233641,-0.0149334,0.390638);
point 1,(0.208824,-0.0045707,0.381732);
point 2,(0.1824,-0.0146288,0.379936);
point 3,(0.16985,-0.0392158,0.386303);
point 4,(0.178523,-0.063929,0.397101);
point 5,(0.20334,-0.0742917,0.406007);
point 6,(0.229763,-0.0642336,0.407803);
point 7,(0.242314,-0.0396466,0.401437);
point 8,(0.306598,-0.143569,0.0376666);
point 9,(0.281781,-0.133206,0.0287607);
point 10,(0.255357,-0.143264,0.0269649);
point 11,(0.242806,-0.167851,0.0333311);
point 12,(0.25148,-0.192564,0.04413);
point 13,(0.276297,-0.202927,0.0530359);
point 14,(0.30272,-0.192869,0.0548317);
point 15,(0.315271,-0.168282,0.0484655);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
