point 0,(0.251821,-0.153443,0.0543608);
point 1,(0.249013,-0.156542,0.0338863);
point 2,(0.261882,-0.158984,0.0176036);
point 3,(0.282889,-0.159339,0.0150507);
point 4,(0.29973,-0.157399,0.0277233);
point 5,(0.302538,-0.1543,0.0481977);
point 6,(0.289669,-0.151857,0.0644804);
point 7,(0.268662,-0.151502,0.0670333);
point 8,(0.252254,0.039731,0.0224605);
point 9,(0.249445,0.036632,0.00198598);
point 10,(0.262314,0.0341896,-0.0142968);
point 11,(0.283321,0.0338346,-0.0168496);
point 12,(0.300162,0.035775,-0.00417709);
point 13,(0.30297,0.038874,0.0162974);
point 14,(0.290101,0.0413164,0.0325801);
point 15,(0.269094,0.0416714,0.0351329);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
