point 0,(0.251898,-0.153485,0.0539656);
point 1,(0.249091,-0.156554,0.0334865);
point 2,(0.26196,-0.158963,0.0171993);
point 3,(0.282968,-0.1593,0.0146449);
point 4,(0.299807,-0.157367,0.0273194);
point 5,(0.302615,-0.154298,0.0477985);
point 6,(0.289745,-0.151889,0.0640856);
point 7,(0.268738,-0.151552,0.0666401);
point 8,(0.252198,0.0397383,0.0223623);
point 9,(0.24939,0.0366688,0.00188322);
point 10,(0.26226,0.0342601,-0.014404);
point 11,(0.283268,0.0339233,-0.0169585);
point 12,(0.300107,0.0358556,-0.00428391);
point 13,(0.302914,0.038925,0.0161952);
point 14,(0.290045,0.0413337,0.0324823);
point 15,(0.269037,0.0416705,0.0350368);
plane 0,8,9,1;
plane 1,9,10,2;
plane 2,10,11,3;
plane 3,11,12,4;
plane 4,12,13,5;
plane 5,13,14,6;
plane 6,14,15,7;
plane 8,0,7,15;
