point 0,(0.094223431233526569,-0.020414724567669761,0.26664411963524715);
point 1,(0.10024390068549306,-0.024515873052978903,0.15688577525574499);
point 2,(0.085748547073743561,-0.028518521804925062,0.056020488959423576);
point 3,(0.065866868320670263,-0.11112821698948847,0.25845591545753716);
point 4,(0.065365466563017768,-0.021571780851689294,0.24506117744838854);
point 5,(0.071926540771536013,-0.11525509826349192,0.14798568190234587);
point 6,(0.053353675066006981,0.058973610476113131,0.26143670769091537);
point 7,(0.059921872043021969,0.054499760527830773,0.14170002273112628);
point 8,(0.066595481685207319,-0.098737199431555386,0.057592898444837573);
point 9,(0.065395464911676304,0.050771745707870332,0.041918968456177);
point 10,(0.037267222615571541,0.023342047190149054,0.38214933665172923);
point 11,(0.044033483792548914,0.048471702352944193,0.2512958053958001);
point 12,(0.046759138450351068,-0.092163314216584719,0.236655346382001);
point 13,(0.024348878990259018,-0.0045345556132803805,0.44261451088599962);
point 14,(0.031965354308238644,-0.098937322696530799,0.32629546468218062);
point 15,(0.014283886240969032,-0.044267103511200223,0.45356869824546386);
point 16,(0.028032339117840734,-0.030831886557567557,0.012852759823966251);
point 17,(-0.013981154693716802,0.04338649796922843,0.39863334052495081);
point 18,(-0.010814175425215483,0.051141764466722639,0.33838508870576334);
point 19,(-0.0035173650836634205,0.059058768909328409,0.017785339020431126);
point 20,(-0.03563776832574686,-0.044952565495062338,0.4508562379544786);
point 21,(-0.026206068945363266,0.077488523140606141,0.24635860644460672);
point 22,(-0.024761801511916495,0.046766635007217006,0.22754152638182573);
point 23,(-0.019637871968348271,0.073014721182631109,0.12662193551800691);
point 24,(-0.04467951519759715,0.013744549949918278,0.41810123835246199);
point 25,(-0.037924395797144753,-0.099897005606126105,0.32249771628081347);
point 26,(-0.032450802928490424,-0.10362492444547186,0.22271669007224271);
point 27,(-0.022052195657966567,-0.11070864643254914,0.033133983804916736);
point 28,(-0.052475058835962984,0.012116310542678171,0.37764601621035604);
point 29,(-0.035633970308286619,-0.12821964999273905,0.10319706224615385);
point 30,(-0.053164690192168823,-0.13312990102900196,0.2427266028714771);
point 31,(-0.063650704497465821,-0.043710935842878093,0.22878867210569009);
point 32,(-0.052506305501931118,-0.021563134327241079,0.01811098945977653);
point 33,(-0.067300228951486143,-0.028336864880103545,0.10775015731270744);
point 34,(-0.084283082002877235,-0.033619826560702254,0.23730238639085258);

plane 8,1,2; C5 # 1
plane 9,7,23; C5 # 2
plane 9,1,7; C5 # 3
plane 2,1,9; C5 # 4
plane 1,0,7; C5 # 5
plane 0,6,7; C5 # 6
plane 7,6,21; C5 # 7
plane 7,21,23; C5 # 8
plane 33,34,29; C5 # 9
plane 29,34,30; C5 # 10
plane 30,3,29; C5 # 11
plane 33,21,34; C5 # 12
plane 23,21,33; C5 # 13
plane 9,23,19; C5 # 14
plane 32,33,29; C5 # 15
plane 19,23,32; C5 # 16
plane 32,23,33; C5 # 17
plane 5,3,1; C5 # 18
plane 3,0,1; C5 # 19
plane 5,1,8; C5 # 20
plane 29,5,8; C5 # 21
plane 29,3,5; C5 # 22
plane 27,29,8; C5 # 23
plane 32,29,27; C5 # 24
plane 19,16,9; C5 # 25
plane 9,16,2; C5 # 26
plane 8,2,16; C5 # 27
plane 8,16,27; C5 # 28
plane 32,27,16; C5 # 29
plane 32,16,19; C5 # 30
plane 22,31,34,21; C6 # 31
plane 11,22,21,6; C6 # 32
plane 4,11,6,0; C6 # 33
plane 12,4,0,3; C6 # 34
plane 26,12,3,30; C6 # 35
plane 34,31,26,30; C6 # 36
plane 10,17,18; C3 # 37
plane 10,13,17; C3 # 38
plane 11,18,22; C3 # 39
plane 12,14,4; C3 # 40
plane 28,24,20; C3 # 41
plane 18,28,22; C3 # 42
plane 22,28,31; C3 # 43
plane 28,20,31; C3 # 44
plane 31,20,25; C3 # 45
plane 31,25,26; C3 # 46
plane 15,25,20; C3 # 47
plane 15,14,25; C3 # 48
plane 28,17,24; C3 # 49
plane 17,28,18; C3 # 50
plane 13,24,17; C3 # 51
plane 20,24,13; C3 # 52
plane 15,20,13; C3 # 53
plane 4,13,10; C3 # 54
plane 4,15,13; C3 # 55
plane 15,4,14; C3 # 56
plane 26,14,12; C3 # 57
plane 14,26,25; C3 # 58
plane 11,10,18; C3 # 59
plane 10,11,4; C3 # 60
